"administration","nom","prenom","civilite","fonction","type_organisme","modification","commentaires"
"Haute autorité de l'audit","PEYBERNES","Florence","Mme","Présidente","Autorité publique indépendante","",""
"Autorité de contrôle prudentiel et de résolution (ACPR)","VILLEROY DE GALHAU","François","M.","Président","Autorité administrative indépendante","",""
"Comité de règlement des différends et des sanctions","MORELLET-STEINER","Pâquita","Mme","Présidente","Autorité administrative indépendante","",""
"Défenseur des droits","HÉDON","Claire","Mme","Défenseure des droits","Autorité administrative indépendante","",""
"Commission nationale des comptes de campagne et des financements politiques (CNCCFP)","CHARPY","Christian","M.","Président","Autorité administrative indépendante","",""
"Autorité de la concurrence","CŒURÉ","Benoît","M.","Président","Autorité administrative indépendante","",""
"Commission nationale du débat public (CNDP)","PAPINUTTI","Marc","M.","Président","Autorité administrative indépendante","",""
"Autorité de régulation de la communication audiovisuelle et numérique (Arcom)","AJDARI","Martin","M.","Président","Autorité publique indépendante","",""
"Commission de régulation de l'énergie","WARGON","Emmanuelle","Mme","Présidente","Autorité administrative indépendante","",""
"Autorité des marchés financiers","BARBAT-LAYANI","Marie-Anne","Mme","Présidente","Autorité administrative indépendante","",""
"Autorité de sûreté nucléaire et de radioprotection","GUPTA","Olivier","M.","Directeur général","Autorité administrative indépendante","",""
"Commission du secret de la défense nationale","ANDREANI","Gilles","M.","Président","Autorité administrative indépendante","",""
"Autorité de régulation des transports (ART)","GUIMBAUD","Thierry","M.","Président","Autorité publique indépendante","",""
"Commission d'accès aux documents administratifs","LASSERRE","Bruno","M.","Président","Autorité administrative indépendante","",""
"Caisse des dépôts et consignations","SICHEL","Olivier","M.","Directeur général","Juridiction","",""
"Agence française de développement","LE HOUÉROU","Philippe","M.","Président du conseil d'administration","Établissement public","",""
"Autorité de contrôle des nuisances aéroportuaires","MONZANI","Pierre","M.","Président","Autorité administrative indépendante","",""
"Autorité nationale des jeux","FALQUE-PIERROTIN","Isabelle","Mme","Présidente","Autorité administrative indépendante","",""
"Haute Autorité pour la transparence de la vie publique","MAÏA","Jean","M.","Président","Autorité administrative indépendante","",""
"Commission nationale de l'informatique et des libertés","DENIS","Marie-Laure","Mme","Présidente","Autorité administrative indépendante","",""
"Agence française de lutte contre le dopage (AFLD)","BOURGEOIS","Béatrice","Mme","Présidente","Autorité administrative indépendante","",""
"Autorité de régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP)","DE LA RAUDIÈRE","Laure","Mme","Présidente de l'ARCEP","Autorité administrative indépendante","",""
"Haut Conseil de l'évaluation de la recherche et de l'enseignement supérieur (HCERES)","CHEVALLIER","Coralie","Mme","Présidente","Autorité administrative indépendante","",""
"Contrôleur général des lieux de privation de liberté (CGLPL)","SIMONNOT","Dominique","Mme","Contrôleure générale des lieux de privation de liberté","Autorité administrative indépendante","",""
"Haute autorité de santé (HAS)","COLLET","Lionel","M.","Président du collège","Autorité administrative indépendante","",""
"Banque de France","MOULIN","Emmanuel","M.","Gouverneur de la Banque de France","Institution","",""
"Collège de l'Autorité de sûreté nucléaire (ASN)","ABADIE","Pierre-Marie","M.","Président","Autorité administrative indépendante","",""
"Médiateur national de l'énergie","DOROSZCZUK","Bernard","M.","Médiateur national de l'énergie","Autorité administrative indépendante","",""
"Comité consultatif national d’éthique (CCNE) pour les sciences de la vie et de la santé","DELFRAISSY","Jean-François","M.","Président","Autorité administrative indépendante","",""
"Commission des sondages","GAEREMYNCK","Jean","M.","Président","Autorité administrative indépendante","",""
"Commission nationale de contrôle des techniques de renseignement (CNCTR)","MAZAURIC","Vincent","M.","Président","Autorité administrative indépendante","",""
"Bpifrance (Banque publique d’investissement)","DUFOURQ","Nicolas","M.","","","Modifié","Non renseigné"
"CNP Assurances","THEPAUT","Thépaut Marie-Aude ","Mme","","","Modifié","Non renseigné"
"Commission des participations et des transferts (CPT)","","","","","","",""
"Fonds de Garantie des Dépôts et de Résolution (FGDR)","SAUGIER ","Jean-Marc","M.","","","Modifié","Non renseigné"
"Fonds de Réserve pour les Retraites (FRR)","SICHEL","Olivier","M.","","","Modifié","Non renseigné"
"La Banque Postale","DEBON","Marie-Ange","Mme","","","Modifié","Non renseigné"
"SFIL (Société de financement local)","MILLS","Philippe","M.","","","Modifié","Non renseigné"
